,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,&nbsp;,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Pascal Siakam,24,80,2548,,,,91%,9%,+10.9,+13.9,63,46,75,31,149,5,624,47,42
2,Danny Green,31,80,2216,,68%,31%,1%,,+14.0,+18.1,42,14,82,5,12,17,305,0,17
3,Kyle Lowry,32,65,2213,70%,30%,,,,+11.4,+12.3,135,24,60,11,69,48,1282,18,30
4,Kawhi Leonard,27,60,2040,,1%,87%,12%,,+8.6,+5.4,43,49,33,11,181,7,501,48,49
5,Serge Ibaka,29,74,2010,,,,3%,97%,+6.5,+1.2,16,32,91,36,79,0,257,16,30
6,Fred VanVleet,24,64,1760,100%,,,,,+8.1,+3.9,55,18,51,5,48,10,731,15,39
7,OG Anunoby,21,67,1352,,,23%,75%,2%,-2.1,-12.2,21,13,63,11,32,11,113,10,32
8,Norman Powell,25,60,1126,4%,56%,37%,3%,,0.0,-8.2,36,16,26,4,33,5,219,9,21
9,Delon Wright,26,49,897,36%,59%,5%,,,-3.0,-11.4,18,14,23,1,27,11,280,10,19
10,Marc Gasol,34,26,648,,,,,100%,+14.2,+9.9,21,5,38,7,23,15,253,5,9
11,Jonas Valan\xc4\x8di\xc5\xabnas,26,30,564,,,,,100%,+5.5,-0.4,15,6,46,11,36,2,73,5,16
12,C.J. Miles,31,40,562,,11%,64%,25%,,-10.5,-19.2,12,5,29,2,19,2,47,5,12
13,Jeremy Lin,30,23,433,52%,48%,,,,-7.4,-15.0,17,5,32,1,17,8,118,2,11
14,Greg Monroe,28,38,423,,,,,100%,-9.6,-17.3,8,13,35,6,31,2,38,5,18
15,Patrick McCaw,23,26,344,2%,41%,49%,9%,,-2.1,-8.8,8,4,19,1,8,2,72,1,2
16,Lorenzo Brown,28,26,212,24%,59%,17%,,,-5.3,-11.9,13,2,7,1,2,0,69,1,7
17,Chris Boucher,26,28,163,,,,36%,64%,-1.1,-7.3,2,2,24,1,4,0,5,0,7
18,Jodie Meeks,31,8,104,1%,56%,42%,,,+6.2,+0.3,1,1,3,0,0,0,19,0,2
19,Malachi Richardson,23,22,103,,6%,78%,16%,,-7.3,-13.6,2,4,4,0,3,1,0,1,2
20,Malcolm Miller,25,10,67,,,60%,41%,,-4.1,-10.2,0,1,3,0,2,0,3,0,1
21,Jordan Loyd,25,12,55,30%,60%,10%,,,-14.5,-20.7,0,2,3,0,5,0,16,2,1
22,Eric Moreland,27,4,38,,,,,100%,-20.3,-26.4,4,0,6,0,0,0,10,0,1
