Rk,&nbsp;,Age,G,MP,PER,True Shooting Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,&nbsp;,OWS,DWS,WS,WS/48,&nbsp;,OBPM,DBPM,BPM,VORP
1,Kawhi Leonard,27,24,939,27.9,.619,.292,.435,6.4,19.3,12.8,19.3,2.1,1.8,11.1,32.0,,3.2,1.7,4.9,.249,,6.2,2.4,8.6,2.5
2,Kyle Lowry,32,24,901,15.4,.576,.522,.291,2.6,11.8,7.2,27.5,1.7,0.8,14.5,18.4,,1.6,1.3,2.8,.150,,2.4,1.5,3.9,1.3
3,Pascal Siakam,24,24,891,17.2,.540,.272,.227,5.0,16.2,10.6,12.9,1.4,1.9,7.3,23.1,,1.1,1.4,2.4,.132,,0.5,1.9,2.4,1.0
4,Marc Gasol,34,24,735,13.5,.564,.494,.256,2.4,20.6,11.5,14.7,1.4,3.5,9.5,13.6,,1.0,1.3,2.3,.151,,-0.1,4.3,4.3,1.2
5,Danny Green,31,24,684,7.6,.503,.768,.148,2.7,11.3,7.0,5.4,2.3,1.6,13.6,12.6,,-0.2,1.1,0.8,.059,,-1.6,3.0,1.4,0.6
6,Fred VanVleet,24,24,592,10.5,.534,.590,.187,1.5,6.3,3.9,15.7,1.5,1.0,10.5,15.3,,0.4,0.7,1.1,.090,,-0.4,0.4,0.0,0.3
7,Serge Ibaka,29,24,500,15.1,.532,.197,.218,7.7,23.9,15.8,7.4,1.1,4.5,10.6,21.4,,0.2,1.0,1.2,.117,,-2.9,2.7,-0.2,0.2
8,Norman Powell,25,23,366,12.2,.558,.492,.151,1.5,13.9,7.7,11.4,1.2,0.0,8.2,18.1,,0.3,0.5,0.8,.100,,-0.6,-0.3,-0.9,0.1
9,Jodie Meeks,31,14,66,3.1,.363,.448,.103,0.0,15.1,7.5,2.4,3.0,1.5,9.0,22.8,,-0.3,0.1,-0.1,-0.100,,-9.0,-0.1,-9.2,-0.1
10,Patrick McCaw,23,11,48,5.7,.425,.600,.400,4.6,2.3,3.5,11.0,2.1,0.0,14.5,6.5,,0.0,0.1,0.1,.076,,-2.8,1.1,-1.6,0.0
11,Malcolm Miller,25,10,28,4.0,.410,.750,.500,0.0,19.7,9.9,5.1,0.0,3.5,9.3,17.4,,0.0,0.0,0.0,-0.016,,-6.5,-0.1,-6.6,0.0
12,Eric Moreland,27,8,28,8.7,.500,.000,.000,3.9,47.3,25.6,14.4,0.0,0.0,0.0,3.2,,0.0,0.1,0.1,.172,,-5.0,3.4,-1.5,0.0
13,Jeremy Lin,30,8,27,1.0,.418,.222,.444,0.0,12.3,6.1,21.0,1.9,0.0,31.7,26.4,,-0.1,0.0,-0.1,-0.169,,-11.4,-0.4,-11.8,-0.1
14,Chris Boucher,26,2,4,31.6,.460,.600,.200,0.0,27.6,13.8,0.0,0.0,24.5,0.0,61.5,,0.0,0.0,0.0,-0.095,,-6.5,-4.1,-10.6,0.0
