Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kawhi Leonard,27,24,24,939,12.9,26.4,.490,2.9,7.7,.379,10.0,18.7,.536,10.2,11.5,.884,2.9,8.7,11.6,5.0,2.1,0.9,3.9,3.0,39.0,,119,103
2,Kyle Lowry,32,24,24,901,6.8,15.4,.439,2.9,8.0,.359,3.9,7.4,.526,3.6,4.5,.802,1.2,5.3,6.5,8.8,1.7,0.4,2.9,5.3,20.0,,116,106
3,Pascal Siakam,24,24,24,891,10.1,21.5,.470,1.6,5.8,.279,8.5,15.7,.541,3.7,4.9,.759,2.2,7.3,9.6,3.7,1.4,1.0,1.9,3.8,25.5,,110,105
4,Marc Gasol,34,24,24,735,5.2,12.2,.422,2.3,6.1,.382,2.9,6.2,.462,2.7,3.1,.870,1.1,9.3,10.4,5.0,1.4,1.8,1.4,5.7,15.4,,117,103
5,Danny Green,31,24,24,684,3.9,11.3,.342,2.8,8.7,.328,1.0,2.6,.389,1.5,1.7,.913,1.2,5.1,6.4,1.9,2.3,0.8,1.9,4.4,12.1,,96,105
6,Fred VanVleet,24,24,0,592,5.5,14.0,.392,3.2,8.3,.388,2.3,5.7,.397,2.0,2.6,.774,0.7,2.9,3.5,5.2,1.5,0.5,1.8,4.1,16.2,,108,108
7,Serge Ibaka,29,24,0,500,9.2,19.3,.477,0.9,3.8,.237,8.3,15.5,.535,3.2,4.2,.762,3.5,10.8,14.3,2.2,1.1,2.3,2.5,7.9,22.5,,105,102
8,Norman Powell,25,23,0,366,7.6,17.2,.444,3.3,8.5,.387,4.4,8.7,.500,1.9,2.6,.737,0.7,6.3,7.0,3.6,1.2,0.0,1.6,4.2,20.5,,109,107
9,Jodie Meeks,31,14,0,66,6.8,22.0,.310,1.5,9.8,.154,5.3,12.1,.438,1.5,2.3,.667,0.0,6.8,6.8,0.8,3.0,0.8,2.3,5.3,16.7,,68,102
10,Patrick McCaw,23,11,0,48,1.0,5.2,.200,1.0,3.1,.333,0.0,2.1,.000,2.1,2.1,1.000,2.1,1.0,3.1,4.2,2.1,0.0,1.0,4.2,5.2,,111,109
11,Malcolm Miller,25,10,0,28,3.6,14.3,.250,1.8,10.7,.167,1.8,3.6,.500,5.4,7.1,.750,0.0,8.9,8.9,1.8,0.0,1.8,1.8,5.4,14.3,,83,106
12,Eric Moreland,27,8,0,28,1.8,3.6,.500,0.0,0.0,,1.8,3.6,.500,0.0,0.0,,1.8,21.4,23.2,5.4,0.0,0.0,0.0,8.9,3.6,,153,100
13,Jeremy Lin,30,8,0,27,3.7,16.7,.222,1.9,3.7,.500,1.9,13.0,.143,7.4,7.4,1.000,0.0,5.6,5.6,7.4,1.9,0.0,9.3,3.7,16.7,,70,106
14,Chris Boucher,26,2,0,4,25.0,62.5,.400,12.5,37.5,.333,12.5,25.0,.500,0.0,12.5,.000,0.0,12.5,12.5,0.0,0.0,12.5,0.0,0.0,62.5,,84,91
