Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kawhi Leonard,27,24,24,939,9.3,19.0,.490,2.1,5.6,.379,7.2,13.5,.536,7.3,8.3,.884,2.1,6.3,8.4,3.6,1.5,0.7,2.8,2.1,28.1
2,Kyle Lowry,32,24,24,901,4.9,11.1,.439,2.1,5.8,.359,2.8,5.3,.526,2.6,3.2,.802,0.8,3.8,4.7,6.4,1.2,0.3,2.1,3.8,14.4
3,Pascal Siakam,24,24,24,891,7.3,15.5,.470,1.2,4.2,.279,6.1,11.3,.541,2.7,3.5,.759,1.6,5.3,6.9,2.7,1.0,0.7,1.3,2.7,18.4
4,Marc Gasol,34,24,24,735,3.7,8.8,.422,1.7,4.4,.382,2.1,4.5,.462,2.0,2.3,.870,0.8,6.7,7.5,3.6,1.0,1.3,1.0,4.1,11.1
5,Danny Green,31,24,24,684,2.8,8.2,.342,2.1,6.3,.328,0.7,1.9,.389,1.1,1.2,.913,0.9,3.7,4.6,1.4,1.6,0.6,1.4,3.2,8.7
6,Fred VanVleet,24,24,0,592,4.0,10.1,.392,2.3,6.0,.388,1.6,4.1,.397,1.5,1.9,.774,0.5,2.1,2.6,3.8,1.1,0.4,1.3,3.0,11.7
7,Serge Ibaka,29,24,0,500,6.6,13.9,.477,0.6,2.7,.237,6.0,11.2,.535,2.3,3.0,.762,2.5,7.8,10.3,1.6,0.8,1.7,1.8,5.7,16.2
8,Norman Powell,25,23,0,366,5.5,12.4,.444,2.4,6.1,.387,3.1,6.3,.500,1.4,1.9,.737,0.5,4.5,5.0,2.6,0.9,0.0,1.2,3.0,14.8
9,Jodie Meeks,31,14,0,66,4.9,15.8,.310,1.1,7.1,.154,3.8,8.7,.438,1.1,1.6,.667,0.0,4.9,4.9,0.5,2.2,0.5,1.6,3.8,12.0
10,Patrick McCaw,23,11,0,48,0.7,3.7,.200,0.7,2.3,.333,0.0,1.5,.000,1.5,1.5,1.000,1.5,0.7,2.3,3.0,1.5,0.0,0.7,3.0,3.7
11,Malcolm Miller,25,10,0,28,2.6,10.3,.250,1.3,7.7,.167,1.3,2.6,.500,3.9,5.1,.750,0.0,6.4,6.4,1.3,0.0,1.3,1.3,3.9,10.3
12,Eric Moreland,27,8,0,28,1.3,2.6,.500,0.0,0.0,,1.3,2.6,.500,0.0,0.0,,1.3,15.4,16.7,3.9,0.0,0.0,0.0,6.4,2.6
13,Jeremy Lin,30,8,0,27,2.7,12.0,.222,1.3,2.7,.500,1.3,9.3,.143,5.3,5.3,1.000,0.0,4.0,4.0,5.3,1.3,0.0,6.7,2.7,12.0
14,Chris Boucher,26,2,0,4,18.0,45.0,.400,9.0,27.0,.333,9.0,18.0,.500,0.0,9.0,.000,0.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,45.0
