Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kawhi Leonard,27,24,24,39.1,10.1,20.7,.490,2.3,6.0,.379,7.8,14.6,.536,.545,8.0,9.0,.884,2.3,6.8,9.1,3.9,1.7,0.7,3.1,2.3,30.5
2,Kyle Lowry,32,24,24,37.5,5.1,11.6,.439,2.2,6.0,.359,2.9,5.5,.526,.532,2.7,3.4,.802,0.9,4.0,4.9,6.6,1.3,0.3,2.2,4.0,15.0
3,Pascal Siakam,24,24,24,37.1,7.5,16.0,.470,1.2,4.3,.279,6.3,11.6,.541,.508,2.8,3.6,.759,1.7,5.5,7.1,2.8,1.0,0.7,1.4,2.8,19.0
4,Marc Gasol,34,24,24,30.6,3.2,7.5,.422,1.4,3.7,.382,1.8,3.8,.462,.517,1.7,1.9,.870,0.7,5.7,6.4,3.0,0.9,1.1,0.9,3.5,9.4
5,Danny Green,31,24,24,28.5,2.2,6.5,.342,1.6,5.0,.328,0.6,1.5,.389,.468,0.9,1.0,.913,0.7,2.9,3.6,1.1,1.3,0.5,1.1,2.5,6.9
6,Fred VanVleet,24,24,0,24.7,2.7,6.9,.392,1.6,4.1,.388,1.1,2.8,.397,.506,1.0,1.3,.774,0.3,1.4,1.8,2.6,0.8,0.3,0.9,2.0,8.0
7,Serge Ibaka,29,24,0,20.8,3.8,8.0,.477,0.4,1.6,.237,3.5,6.5,.535,.500,1.3,1.8,.762,1.5,4.5,6.0,0.9,0.5,1.0,1.0,3.3,9.4
8,Norman Powell,25,23,0,15.9,2.4,5.5,.444,1.0,2.7,.387,1.4,2.8,.500,.540,0.6,0.8,.737,0.2,2.0,2.2,1.1,0.4,0.0,0.5,1.3,6.5
9,Jodie Meeks,31,14,0,4.7,0.6,2.1,.310,0.1,0.9,.154,0.5,1.1,.438,.345,0.1,0.2,.667,0.0,0.6,0.6,0.1,0.3,0.1,0.2,0.5,1.6
10,Patrick McCaw,23,11,0,4.4,0.1,0.5,.200,0.1,0.3,.333,0.0,0.2,.000,.300,0.2,0.2,1.000,0.2,0.1,0.3,0.4,0.2,0.0,0.1,0.4,0.5
11,Eric Moreland,27,8,0,3.5,0.1,0.3,.500,0.0,0.0,,0.1,0.3,.500,.500,0.0,0.0,,0.1,1.5,1.6,0.4,0.0,0.0,0.0,0.6,0.3
12,Jeremy Lin,30,8,0,3.4,0.3,1.1,.222,0.1,0.3,.500,0.1,0.9,.143,.278,0.5,0.5,1.000,0.0,0.4,0.4,0.5,0.1,0.0,0.6,0.3,1.1
13,Malcolm Miller,25,10,0,2.8,0.2,0.8,.250,0.1,0.6,.167,0.1,0.2,.500,.313,0.3,0.4,.750,0.0,0.5,0.5,0.1,0.0,0.1,0.1,0.3,0.8
14,Chris Boucher,26,2,0,2.0,1.0,2.5,.400,0.5,1.5,.333,0.5,1.0,.500,.500,0.0,0.5,.000,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2.5
