,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,&nbsp;,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Kawhi Leonard,27,24,939,,2%,81%,18%,,+8.7,+15.9,21,32,20,13,89,1,240,27,29
2,Kyle Lowry,32,24,901,60%,40%,,,,+8.4,+11.9,37,8,34,4,35,27,370,7,18
3,Pascal Siakam,24,24,891,,,4%,95%,,+5.3,-1.3,14,10,31,4,36,1,167,7,28
4,Marc Gasol,34,24,735,,,,,100%,+4.8,-2.2,9,6,44,5,15,7,177,0,5
5,Danny Green,31,24,684,,79%,21%,,,+7.6,+4.8,12,4,24,4,6,5,63,0,4
6,Fred VanVleet,24,24,592,100%,,,,,+3.2,-5.0,14,3,20,3,10,6,143,1,11
7,Serge Ibaka,29,24,500,,,,22%,78%,+8.8,+5.7,5,9,36,6,21,0,58,3,11
8,Norman Powell,25,23,366,,46%,54%,,,+8.2,+3.8,6,3,11,0,9,2,62,3,11
9,Jodie Meeks,31,14,66,2%,98%,,,,-13.3,-20.2,2,0,5,1,2,0,3,1,1
10,Patrick McCaw,23,11,48,4%,22%,42%,32%,,-15.4,-22.0,1,0,1,0,0,0,11,0,0
11,Malcolm Miller,25,10,28,,,18%,70%,13%,-37.5,-44.3,0,0,2,1,2,0,2,0,0
12,Eric Moreland,27,8,28,,,,,100%,-42.2,-49.2,0,0,3,0,0,0,7,0,0
13,Jeremy Lin,30,8,27,99%,1%,,,,-38.1,-44.9,4,1,1,0,0,0,10,0,2
14,Chris Boucher,26,2,4,,,,100%,,-44.7,-50.6,0,0,0,0,1,0,0,1,1
