,2-Pt Field Goals,3-Pt Field Goals
,% of FGA by Distance,FG% by Distance,,Dunks,,Corner,Heaves
Rk,&nbsp;,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast\'d,%FGA,Md.,%Ast\'d,%3PA,3P%,Att.,Md.
1,Kawhi Leonard,27,24,939,.490,13.8,.708,.238,.153,.190,.127,.292,.536,.737,.421,.394,.508,.379,.282,.077,33,.509,.124,.500,1,0
2,Kyle Lowry,32,24,901,.439,16.8,.478,.219,.133,.068,.058,.522,.526,.639,.432,.421,.438,.359,.300,.000,0,.769,.131,.368,0,0
3,Pascal Siakam,24,24,891,.470,10.7,.728,.313,.279,.084,.052,.272,.541,.700,.421,.375,.500,.279,.543,.065,22,.966,.644,.284,0,0
4,Marc Gasol,34,24,735,.422,17.3,.506,.067,.239,.122,.078,.494,.462,.833,.442,.364,.357,.382,.881,.028,4,.971,.079,.143,0,0
5,Danny Green,31,24,684,.342,20.8,.232,.116,.032,.052,.032,.768,.389,.500,.200,.250,.400,.328,.786,.006,1,.974,.445,.340,0,0
6,Fred VanVleet,24,24,592,.392,19.5,.410,.139,.078,.048,.145,.590,.397,.565,.308,.000,.417,.388,.370,.000,0,.842,.153,.333,0,0
7,Serge Ibaka,29,24,500,.477,11.5,.803,.301,.218,.114,.171,.197,.535,.724,.500,.455,.303,.237,.783,.119,18,.889,.158,.333,0,0
8,Norman Powell,25,23,366,.444,15.8,.508,.310,.079,.016,.103,.492,.500,.667,.200,.500,.231,.387,.688,.071,9,.833,.355,.455,1,0
9,Jodie Meeks,31,14,66,.310,16.4,.552,.172,.172,.069,.138,.448,.438,.600,.400,.500,.250,.154,.857,.000,0,.500,.308,.250,0,0
10,Patrick McCaw,23,11,48,.200,16.6,.400,.200,.200,.000,.000,.600,.000,.000,.000,,,.333,,.000,0,1.000,.667,.000,0,0
11,Malcolm Miller,25,10,28,.250,21.6,.250,.125,.000,.125,.000,.750,.500,1.000,,.000,,.167,1.000,.000,0,1.000,.167,.000,0,0
12,Eric Moreland,27,8,28,.500,4.5,1.000,.500,.500,.000,.000,.000,.500,1.000,.000,,,,1.000,.000,0,,,,0,0
13,Jeremy Lin,30,8,27,.222,16.6,.778,.111,.111,.111,.444,.222,.143,.000,.000,.000,.250,.500,.000,.000,0,.000,.000,,0,0
14,Chris Boucher,26,2,4,.400,15.8,.400,.400,.000,.000,.000,.600,.500,.500,,,,.333,1.000,.200,0,1.000,.333,.000,0,0
