Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kawhi Leonard,27,24,24,939,243,496,.490,55,145,.379,188,351,.536,.545,191,216,.884,54,164,218,94,40,17,74,56,732
2,Kyle Lowry,32,24,24,901,122,278,.439,52,145,.359,70,133,.526,.532,65,81,.802,21,96,117,159,31,7,53,96,361
3,Pascal Siakam,24,24,24,891,180,383,.470,29,104,.279,151,279,.541,.508,66,87,.759,40,131,171,66,25,17,33,67,455
4,Marc Gasol,34,24,24,735,76,180,.422,34,89,.382,42,91,.462,.517,40,46,.870,16,137,153,73,21,26,21,84,226
5,Danny Green,31,24,24,684,53,155,.342,39,119,.328,14,36,.389,.468,21,23,.913,17,70,87,26,31,11,26,60,166
6,Fred VanVleet,24,24,0,592,65,166,.392,38,98,.388,27,68,.397,.506,24,31,.774,8,34,42,62,18,6,21,49,192
7,Serge Ibaka,29,24,0,500,92,193,.477,9,38,.237,83,155,.535,.500,32,42,.762,35,108,143,22,11,23,25,79,225
8,Norman Powell,25,23,0,366,56,126,.444,24,62,.387,32,64,.500,.540,14,19,.737,5,46,51,26,9,0,12,31,150
9,Jodie Meeks,31,14,0,66,9,29,.310,2,13,.154,7,16,.438,.345,2,3,.667,0,9,9,1,4,1,3,7,22
10,Patrick McCaw,23,11,0,48,1,5,.200,1,3,.333,0,2,.000,.300,2,2,1.000,2,1,3,4,2,0,1,4,5
11,Malcolm Miller,25,10,0,28,2,8,.250,1,6,.167,1,2,.500,.313,3,4,.750,0,5,5,1,0,1,1,3,8
12,Eric Moreland,27,8,0,28,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,12,13,3,0,0,0,5,2
13,Jeremy Lin,30,8,0,27,2,9,.222,1,2,.500,1,7,.143,.278,4,4,1.000,0,3,3,4,1,0,5,2,9
14,Chris Boucher,26,2,0,4,2,5,.400,1,3,.333,1,2,.500,.500,0,1,.000,0,1,1,0,0,1,0,0,5
