Rk,&nbsp;,Salary
1,Kyle Lowry,"$31,200,000"
2,Marc Gasol,"$24,119,025"
3,Kawhi Leonard,"$23,114,067"
4,Serge Ibaka,"$21,666,667"
5,Danny Green,"$10,000,000"
6,Norman Powell,"$9,367,200"
7,Fred VanVleet,"$8,653,847"
8,OG Anunoby,"$1,952,760"
9,Pascal Siakam,"$1,544,951"
10,Justin Hamilton,"$1,000,000"
11,Lorenzo Brown,"$800,000"
12,Patrick McCaw,"$786,211"
13,Jeremy Lin,"$697,000"
14,Malcolm Miller,"$457,418"
15,Chris Boucher,"$457,418"
16,Jodie Meeks,"$319,677"
17,Eric Moreland,"$106,237"
18,Jordan Loyd,$0
