,2-Pt Field Goals,3-Pt Field Goals
,% of FGA by Distance,FG% by Distance,,Dunks,,Corner,Heaves
Rk,&nbsp;,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast\'d,%FGA,Md.,%Ast\'d,%3PA,3P%,Att.,Md.
1,Pascal Siakam,24,80,2548,.549,8.7,.774,.403,.302,.050,.019,.226,.602,.722,.474,.468,.444,.369,.493,.063,58,.975,.682,.411,2,0
2,Danny Green,31,80,2216,.465,19.6,.310,.114,.086,.054,.056,.690,.487,.639,.333,.471,.429,.455,.621,.003,2,.914,.414,.500,2,0
3,Kyle Lowry,32,65,2213,.411,19.0,.387,.187,.060,.062,.078,.613,.514,.645,.409,.435,.345,.347,.299,.000,0,.745,.115,.442,3,0
4,Kawhi Leonard,27,60,2040,.496,13.3,.733,.249,.147,.188,.149,.267,.542,.701,.464,.472,.440,.371,.283,.050,54,.670,.166,.420,0,0
5,Serge Ibaka,29,74,2010,.529,11.8,.807,.259,.229,.152,.168,.193,.586,.758,.517,.474,.517,.290,.788,.090,71,.980,.107,.333,0,0
6,Fred VanVleet,24,64,1760,.410,16.6,.507,.255,.080,.050,.122,.493,.441,.516,.333,.300,.411,.378,.284,.000,0,.759,.189,.482,1,0
7,OG Anunoby,21,67,1352,.453,14.0,.500,.347,.109,.022,.022,.500,.574,.693,.273,.333,.444,.332,.491,.114,39,.985,.465,.266,0,0
8,Norman Powell,25,60,1126,.483,13.7,.575,.383,.103,.038,.053,.425,.543,.621,.512,.267,.238,.400,.552,.053,20,.926,.312,.472,3,0
9,Delon Wright,26,49,897,.433,10.9,.693,.372,.242,.051,.027,.307,.478,.587,.394,.200,.250,.333,.320,.027,8,.733,.222,.500,1,0
10,Marc Gasol,34,26,648,.465,13.5,.722,.166,.267,.176,.112,.278,.474,.581,.520,.333,.429,.442,.750,.016,3,.957,.000,,0,0
11,Jonas Valan\xc4\x8di\xc5\xabnas,26,30,564,.575,7.4,.884,.367,.386,.112,.019,.116,.611,.684,.600,.448,.400,.300,.629,.073,18,1.000,.033,1.000,0,0
12,C.J. Miles,31,40,562,.340,19.7,.335,.131,.087,.058,.058,.665,.391,.481,.278,.333,.417,.314,.593,.019,3,.953,.241,.394,1,0
13,Jeremy Lin,30,23,433,.374,13.5,.645,.335,.097,.116,.097,.355,.470,.558,.200,.500,.400,.200,.404,.000,0,.727,.182,.200,0,0
14,Greg Monroe,28,38,423,.460,4.2,.975,.565,.348,.050,.012,.025,.471,.560,.375,.250,.000,.000,.527,.019,2,,.000,,0,0
15,Patrick McCaw,23,26,344,.444,13.4,.556,.352,.148,.037,.019,.444,.533,.684,.250,.000,1.000,.333,.500,.056,3,1.000,.375,.556,0,0
16,Lorenzo Brown,28,26,212,.324,14.3,.606,.338,.127,.070,.070,.394,.395,.417,.333,.400,.400,.214,.235,.042,2,.667,.321,.333,2,0
17,Chris Boucher,26,28,163,.447,13.3,.513,.368,.132,.000,.013,.487,.564,.750,.100,,.000,.324,.636,.145,11,1.000,.189,.429,0,0
18,Jodie Meeks,31,8,104,.538,15.3,.538,.179,.179,.103,.077,.462,.619,.857,.714,.250,.333,.444,.923,.000,0,1.000,.389,.429,0,0
19,Malachi Richardson,23,22,103,.310,22.6,.138,.069,.034,.000,.034,.862,.250,.500,.000,,.000,.320,.000,.000,0,.875,.480,.333,0,0
20,Malcolm Miller,25,10,67,.423,21.4,.192,.115,.038,.000,.038,.808,.200,.000,.000,,1.000,.476,1.000,.000,0,1.000,.333,.571,0,0
21,Jordan Loyd,25,12,55,.444,16.1,.556,.278,.056,.111,.111,.444,.400,.400,1.000,.000,.500,.500,.500,.000,0,.250,.000,,0,0
22,Eric Moreland,27,4,38,.429,6.7,.857,.429,.429,.000,.000,.143,.333,.333,.333,,,1.000,.000,.000,0,1.000,.000,,0,0
