Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Pascal Siakam,24,80,79,2548,519,945,.549,79,214,.369,440,731,.602,.591,237,302,.785,124,425,549,248,73,52,154,241,1354
2,Danny Green,31,80,80,2216,293,630,.465,198,435,.455,95,195,.487,.622,37,44,.841,60,257,317,126,73,53,75,171,821
3,Kyle Lowry,32,65,65,2213,304,739,.411,157,453,.347,147,286,.514,.518,161,194,.830,41,271,312,564,91,31,182,166,926
4,Kawhi Leonard,27,60,60,2040,560,1129,.496,112,302,.371,448,827,.542,.546,364,426,.854,78,361,439,199,106,24,121,87,1596
5,Serge Ibaka,29,74,51,2010,464,877,.529,49,169,.290,415,708,.586,.557,135,177,.763,156,445,601,99,29,103,114,211,1112
6,Fred VanVleet,24,64,28,1760,246,600,.410,112,296,.378,134,304,.441,.503,97,115,.843,21,146,167,307,57,20,82,110,701
7,OG Anunoby,21,67,6,1352,183,404,.453,67,202,.332,116,202,.574,.536,36,62,.581,58,139,197,47,46,22,55,140,469
8,Norman Powell,25,60,3,1126,193,400,.483,68,170,.400,125,230,.543,.568,62,75,.827,16,123,139,91,39,13,65,96,516
9,Delon Wright,26,49,2,897,127,293,.433,30,90,.333,97,203,.478,.485,53,61,.869,39,86,125,110,46,15,37,53,337
10,Marc Gasol,34,26,19,648,87,187,.465,23,52,.442,64,135,.474,.527,40,52,.769,24,148,172,101,24,23,36,70,237
11,Jonas Valan\xc4\x8di\xc5\xabnas,26,30,10,564,149,259,.575,9,30,.300,140,229,.611,.593,77,94,.819,54,162,216,29,13,23,39,82,384
12,C.J. Miles,31,40,1,562,70,206,.340,43,137,.314,27,69,.391,.444,35,44,.795,12,56,68,22,18,10,21,62,218
13,Jeremy Lin,30,23,3,433,58,155,.374,11,55,.200,47,100,.470,.410,34,42,.810,6,54,60,50,9,6,26,48,161
14,Greg Monroe,28,38,2,423,74,161,.460,0,4,.000,74,157,.471,.460,35,61,.574,60,96,156,16,13,8,31,61,183
15,Patrick McCaw,23,26,1,344,24,54,.444,8,24,.333,16,30,.533,.519,13,15,.867,7,38,45,27,21,2,14,37,69
16,Lorenzo Brown,28,26,0,212,23,71,.324,6,28,.214,17,43,.395,.366,3,3,1.000,5,26,31,28,12,5,16,22,55
17,Chris Boucher,26,28,0,163,34,76,.447,12,37,.324,22,39,.564,.526,13,15,.867,16,40,56,2,6,24,7,31,93
18,Jodie Meeks,31,8,0,104,21,39,.538,8,18,.444,13,21,.619,.641,1,1,1.000,1,11,12,8,1,1,2,5,51
19,Malachi Richardson,23,22,0,103,9,29,.310,8,25,.320,1,4,.250,.448,4,5,.800,2,11,13,0,1,0,8,13,30
20,Malcolm Miller,25,10,0,67,11,26,.423,10,21,.476,1,5,.200,.615,3,4,.750,1,4,5,1,1,1,1,5,35
21,Jordan Loyd,25,12,0,55,8,18,.444,4,8,.500,4,10,.400,.556,9,11,.818,1,8,9,6,0,0,2,5,29
22,Eric Moreland,27,4,0,38,3,7,.429,1,1,1.000,2,6,.333,.500,0,0,,4,13,17,4,1,1,5,8,7
,Team Totals,,82,,19880,3460,7305,.474,1015,2771,.366,2445,4534,.539,.543,1449,1803,.804,786,2920,3706,2085,680,437,1150,1724,9384
