1,Fred VanVleet,vanvlfr01
2,Pascal Siakam,siakapa01
3,Kyle Lowry,lowryky01
4,OG Anunoby,anunoog01
5,Gary Trent Jr.,trentga02
6,Khem Birch,birchkh01
7,Norman Powell,powelno01
8,Chris Boucher,bouchch01
9,Malachi Flynn,flynnma01
10,Freddie Gillespie,gillefr01
11,DeAndre' Bembry,bembrde01
12,Henry Ellenson,ellenhe01
13,Aron Baynes,baynear01
14,Stanley Johnson,johnsst04
15,Terence Davis,daviste02
16,Yuta Watanabe,watanyu01
17,Jalen Harris,harrija01
18,Rodney Hood,hoodro01
19,Paul Watson,watsopa01
20,Alex Len,lenal01
21,Matt Thomas,thomama02
22,Patrick McCaw,mccawpa01
