1,Donovan Mitchell,mitchdo01
2,Royce O'Neale,onealro01
3,Bojan Bogdanović,bogdabo02
4,Rudy Gobert,goberru01
5,Mike Conley,conlemi01
6,Joe Ingles,inglejo01
7,Jordan Clarkson,clarkjo01
8,Georges Niang,niangge01
9,Derrick Favors,favorde01
10,Trent Forrest,forretr01
11,Miye Oni,onimi01
12,Ersan İlyasova,ilyaser01
13,Matt Thomas,thomama02
14,Juwan Morgan,morgaju01
15,Jarrell Brantley,brantja01
16,Udoka Azubuike,azubuud01
17,Elijah Hughes,hugheel01
18,Shaquille Harrison,harrish01
19,&nbsp;,Age
