1,John Wall,walljo01
2,Bradley Beal,bealbr01
3,Otto Porter,porteot01
4,Marcin Gortat,gortama01
5,Markieff Morris,morrima02
6,Jared Dudley,dudleja01
7,Garrett Temple,templga01
8,Ramon Sessions,sessira01
9,Gary Neal,nealga01
10,Nenê Hilário,hilarne01
11,Kris Humphries,humphkr01
12,Marcus Thornton,thornma01
13,Alan Anderson,anderal01
14,Kelly Oubre,oubreke01
15,Drew Gooden,goodedr01
16,Ryan Hollins,holliry01
17,J.J. Hickson,hicksjj01
18,DeJuan Blair,blairde01
19,Jarell Eddie,eddieja01
